payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.60,-74.00,-8.00,28.00,15.00,5.00,42.34,130.06,57000.00,10769.50,0.19,1247.00,57.00,1720.00,0.00,0.00,1.25,653.06,3.71
6.00,-75.00,-7.00,13.00,15.00,1.00,26.34,120.01,36000.00,10931.95,0.30,1822.00,36.00,1720.00,0.00,0.00,1.82,653.06,3.66
6.05,-82.00,-6.00,5.00,6.00,1.00,22.43,121.00,100000.00,35669.22,0.36,2158.00,100.00,1720.00,0.00,0.00,2.16,653.06,1.12
6.05,-98.00,-13.00,9.00,15.00,17.00,29.62,121.00,39000.00,10533.78,0.27,1634.09,39.00,1720.00,0.00,0.00,1.63,653.06,3.80
6.00,-90.00,-7.00,6.00,15.00,9.00,32.79,120.00,44000.00,10735.96,0.24,1464.00,44.00,1720.00,0.00,0.00,1.46,653.06,3.73
