payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.50,-96.00,-7.00,17.00,12.00,8.00,19.86,128.00,42000.00,16916.21,0.40,2617.99,42.00,1720.00,0.00,0.00,2.62,843.00,2.36
6.00,-102.00,-9.00,4.00,15.00,7.00,22.81,120.00,31000.00,10870.61,0.35,2104.00,31.00,1720.00,0.00,0.00,2.10,843.00,3.68
6.05,-99.00,-6.00,17.00,15.00,9.00,20.74,121.00,28000.00,10801.95,0.39,2334.00,28.00,2530.00,0.00,0.00,2.33,843.00,3.70
6.00,-115.00,-9.00,7.00,15.00,10.00,18.85,120.01,26000.00,11032.61,0.42,2546.00,26.00,2530.00,0.00,0.00,2.55,843.00,3.63
6.05,-106.00,-14.00,-3.00,4.00,19.00,5.45,120.99,74000.00,108700.04,1.47,8886.99,74.00,1720.00,0.00,0.00,8.89,843.00,0.37
5.50,-74.00,-6.00,27.00,15.00,2.00,36.88,110.00,49000.00,10628.49,0.22,1193.00,49.00,1720.00,0.00,0.00,1.19,843.00,3.76
6.00,-91.00,-7.00,9.00,12.00,4.00,21.63,120.00,46000.00,17012.31,0.37,2219.00,46.00,1720.00,0.00,0.00,2.22,843.00,2.35
