payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.05,-90.00,-11.00,4.00,7.00,12.00,16.27,125.94,38000.00,18679.64,0.49,2974.01,38.00,890.00,0.00,0.00,2.97,944.07,2.14
1.40,-90.00,-6.00,29.00,13.00,10.00,5.77,24.88,11000.00,15242.79,1.39,1940.01,11.00,2510.00,0.00,0.00,1.94,944.07,2.62
2.35,-90.00,-9.00,12.00,15.00,7.00,32.47,45.77,44000.00,10840.81,0.25,579.00,44.00,1770.00,0.00,0.00,0.58,944.07,3.69
0.75,-92.00,-5.00,19.00,15.00,8.00,25.97,14.52,36000.00,11087.97,0.31,231.00,36.00,2510.00,0.00,0.00,0.23,944.07,3.61
0.90,-95.00,-5.00,22.00,12.00,8.00,41.86,17.96,89000.00,17008.83,0.19,172.00,89.00,2510.00,0.00,0.00,0.17,944.07,2.35
0.80,-95.00,-5.00,24.00,13.00,8.00,40.00,15.97,74000.00,14799.93,0.20,160.00,74.00,2510.00,0.00,0.00,0.16,944.07,2.70
3.05,-106.00,-7.00,28.00,13.00,9.00,36.86,61.51,67000.00,14542.26,0.22,662.00,67.00,2510.00,0.00,0.00,0.66,944.07,2.75
0.60,-105.00,-6.00,28.00,9.00,9.00,9.13,11.89,32000.00,28053.23,0.88,526.00,32.00,2510.00,0.00,0.00,0.53,944.07,1.43
0.90,-104.00,-7.00,20.00,15.00,9.00,50.00,17.78,68000.00,10879.96,0.16,144.00,68.00,2510.00,0.00,0.00,0.14,944.07,3.68
0.60,-87.00,-5.00,33.00,12.00,7.00,36.09,11.80,78000.00,17289.92,0.22,133.00,78.00,2510.00,0.00,0.00,0.13,944.07,2.31
0.50,-78.00,-5.00,28.00,15.00,7.00,33.90,9.97,46000.00,10855.97,0.24,118.00,46.00,2510.00,0.00,0.00,0.12,944.07,3.68
1.10,-84.00,-6.00,14.00,15.00,7.00,20.56,22.65,28000.00,10894.52,0.39,428.00,28.00,2510.00,0.00,0.00,0.43,944.07,3.67
0.65,-85.00,-7.00,37.00,13.00,4.00,29.55,12.41,54000.00,14621.47,0.27,176.00,54.00,2510.00,0.00,0.00,0.18,944.07,2.74
0.50,-91.00,-5.00,34.00,15.00,4.00,26.14,9.99,36000.00,11015.95,0.31,153.00,36.00,2510.00,0.00,0.00,0.15,944.07,3.63
0.50,-91.00,-7.00,32.00,14.00,4.00,23.67,10.02,39000.00,13181.97,0.34,169.00,39.00,2510.00,0.00,0.00,0.17,944.07,3.03
0.50,-91.00,-6.00,35.00,15.00,4.00,28.99,9.97,39000.00,10763.97,0.28,138.00,39.00,2510.00,0.00,0.00,0.14,944.07,3.72
0.85,-91.00,-6.00,20.00,13.00,5.00,34.34,17.05,62000.00,14442.28,0.23,198.00,62.00,2510.00,0.00,0.00,0.20,944.07,2.77
0.75,-93.00,-6.00,23.00,11.00,5.00,37.74,14.96,94000.00,19927.92,0.21,159.00,94.00,2510.00,0.00,0.00,0.16,944.07,2.01
0.90,-88.00,-6.00,19.00,15.00,5.00,19.94,18.44,27000.00,10829.94,0.40,361.00,27.00,2510.00,0.00,0.00,0.36,944.07,3.69
0.90,-77.00,-5.00,40.00,15.00,6.00,16.86,17.92,23000.00,10912.17,0.47,427.00,23.00,2510.00,0.00,0.00,0.43,944.07,3.67
0.55,-90.00,-5.00,35.00,15.00,6.00,14.10,10.83,19000.00,10778.15,0.57,312.00,19.00,2510.00,0.00,0.00,0.31,944.07,3.71
0.50,-90.00,-6.00,31.00,10.00,6.00,8.35,10.19,26000.00,24907.91,0.96,479.00,26.00,2510.00,0.00,0.00,0.48,944.07,1.61
1.00,-87.00,-7.00,24.00,15.00,4.00,44.69,19.64,61000.00,10918.96,0.18,179.00,61.00,2510.00,0.00,0.00,0.18,944.07,3.66
0.50,-89.00,-8.00,33.00,12.00,4.00,24.54,10.03,52000.00,16951.92,0.33,163.00,52.00,2510.00,0.00,0.00,0.16,944.07,2.36
