payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
3.40,-78.00,-8.00,26.00,15.00,4.00,23.90,66.00,32000.00,10710.54,0.33,1138.00,32.00,1815.00,1.29,10.14,1.14,939.09,3.73
4.50,-86.00,-9.00,10.00,15.00,7.00,28.73,90.09,38000.00,10580.83,0.28,1253.00,38.00,1815.00,1.88,17.78,1.25,939.09,3.78
5.45,-92.00,-9.00,5.00,15.00,5.00,15.38,109.00,21000.00,10923.85,0.52,2835.01,21.00,1815.00,3.78,15.48,2.84,939.09,3.66
5.55,-94.00,-6.00,10.00,9.00,12.00,32.46,111.00,100000.00,24648.53,0.25,1368.00,100.00,1815.00,1.98,17.14,1.37,939.09,1.62
5.70,-91.00,-8.00,9.00,15.00,12.00,31.43,114.00,43000.00,10946.11,0.25,1451.00,43.00,1815.00,2.07,16.84,1.45,939.09,3.65
6.00,-105.00,-11.00,-3.00,15.00,6.00,22.57,120.00,31000.00,10989.45,0.35,2127.00,31.00,1815.00,3.72,20.80,2.13,939.09,3.64
4.50,-90.00,-8.00,6.00,15.00,8.00,22.00,90.00,30000.00,10906.61,0.36,1636.00,30.00,1815.00,2.05,13.97,1.64,939.09,3.67
3.85,-84.00,-7.00,10.00,15.00,6.00,30.34,77.00,41000.00,10809.07,0.26,1015.00,41.00,1815.00,1.28,14.20,1.02,939.09,3.70
5.65,-91.00,-11.00,16.00,15.00,7.00,16.24,113.01,22000.00,10836.44,0.49,2783.00,22.00,1815.00,3.77,15.80,2.78,939.09,3.69
