payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.75,-84.00,-6.00,17.00,15.00,5.00,33.57,94.01,46000.00,10962.50,0.24,1132.00,46.00,1815.00,1.31,11.86,1.13,689.12,3.65
5.65,-89.00,-8.00,13.00,15.00,11.00,33.07,113.10,44000.00,10645.63,0.24,1367.00,44.00,1815.00,1.96,16.95,1.37,689.12,3.76
5.55,-84.00,-6.00,21.00,15.00,13.00,26.86,111.00,36000.00,10722.10,0.30,1653.00,36.00,1815.00,1.93,12.11,1.65,689.12,3.73
5.45,-81.00,-7.00,0.00,6.00,8.00,31.28,109.00,100000.00,25577.90,0.26,1394.00,100.00,1815.00,1.46,5.48,1.39,689.12,1.56
3.70,-84.00,-6.00,18.00,12.00,7.00,32.03,74.00,67000.00,16731.80,0.25,924.00,67.00,1815.00,1.10,12.57,0.92,689.12,2.39
4.50,-85.00,-6.00,22.00,14.00,10.00,23.03,90.00,37000.00,12851.29,0.35,1563.00,37.00,1815.00,2.03,15.02,1.56,689.12,3.11
