payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.50,-100.00,-7.00,8.00,11.00,13.00,9.39,10.65,24000.00,20447.92,0.85,426.00,24.00,1845.00,0.74,20.67,0.43,729.85,2.61
0.50,-97.00,-6.00,14.00,15.00,13.00,10.00,9.89,14000.00,11200.00,0.80,400.00,14.00,1845.00,0.67,20.05,0.40,729.85,4.76
0.50,-95.00,-6.00,12.00,10.00,13.00,9.66,9.99,29000.00,24011.91,0.83,414.00,29.00,1845.00,0.69,19.92,0.41,729.85,2.22
0.50,-95.00,-5.00,12.00,15.00,13.00,9.71,10.02,13000.00,10711.96,0.82,412.00,13.00,1845.00,0.68,19.62,0.41,729.85,4.98
0.55,-101.00,-6.00,9.00,15.00,13.00,6.09,11.32,8000.00,10501.77,1.31,722.00,8.00,1845.00,1.27,20.95,0.72,729.85,5.08
0.50,-102.00,-7.00,12.00,14.00,13.00,8.58,9.74,14000.00,13047.96,0.93,466.00,14.00,1845.00,0.79,20.34,0.47,729.85,4.09
0.50,-89.00,-6.00,12.00,11.00,13.00,11.59,9.86,29000.00,20010.01,0.69,345.00,29.00,1845.00,0.47,15.72,0.35,729.85,2.67
0.50,-84.00,-6.00,19.00,13.00,13.00,10.96,10.02,20000.00,14600.01,0.73,365.00,20.00,1845.00,0.42,10.88,0.37,729.85,3.65
0.50,-85.00,-9.00,22.00,12.00,13.00,11.76,10.00,25000.00,16999.86,0.68,340.00,25.00,1845.00,0.37,6.89,0.34,729.85,3.14
0.55,-80.00,-7.00,27.00,15.00,2.00,13.41,10.95,18000.00,10734.49,0.60,328.00,18.00,1845.00,0.30,-1.68,0.33,729.85,3.73
0.50,-82.00,-9.00,10.00,11.00,2.00,7.21,10.43,18000.00,19979.94,1.11,555.00,18.00,1845.00,0.56,4.25,0.56,729.85,2.00
0.50,-74.00,-5.00,26.00,15.00,3.00,11.33,9.63,15000.00,10589.95,0.71,353.00,15.00,1845.00,0.32,-4.17,0.35,729.85,5.04
0.55,-109.00,-11.00,2.00,6.00,7.00,4.37,21.40,31000.00,56814.28,1.83,1008.00,31.00,1845.00,1.74,20.55,1.01,729.85,0.94
0.55,-113.00,-12.00,-2.00,7.00,7.00,5.50,10.82,13000.00,18909.02,1.45,800.00,13.00,1845.00,1.37,20.41,0.80,729.85,2.82
0.50,-90.00,-5.00,23.00,12.00,7.00,9.90,9.59,21000.00,16967.93,0.81,404.00,21.00,1845.00,0.57,16.50,0.40,729.85,3.14
0.50,-88.00,-5.00,29.00,15.00,7.00,9.73,9.99,13000.00,10685.96,0.82,411.00,13.00,1845.00,0.46,10.00,0.41,729.85,4.99
0.50,-91.00,-6.00,21.00,11.00,7.00,11.14,9.96,28000.00,20103.93,0.72,359.00,28.00,1845.00,0.50,16.22,0.36,729.85,2.65
0.50,-75.00,-5.00,29.00,15.00,7.00,11.80,9.96,16000.00,10847.92,0.68,339.00,16.00,1845.00,0.31,-3.78,0.34,729.85,4.92
0.50,-71.00,-5.00,27.00,15.00,1.00,12.01,9.98,16000.00,10655.92,0.67,333.00,16.00,1845.00,0.31,-5.48,0.33,729.85,5.01
0.50,-75.00,-6.00,29.00,15.00,1.00,12.12,10.00,16000.00,10559.92,0.66,330.00,16.00,1845.00,0.30,-3.55,0.33,729.85,5.05
0.50,-68.00,-5.00,31.00,15.00,1.00,11.49,10.04,16000.00,11135.95,0.70,348.00,16.00,1845.00,0.32,-8.34,0.35,729.85,4.79
0.50,-94.00,-8.00,14.00,14.00,1.00,12.05,9.97,20000.00,13279.99,0.66,332.00,20.00,1845.00,0.48,17.14,0.33,729.85,4.02
0.55,-90.00,-11.00,4.00,12.00,1.00,11.73,11.06,25000.00,17045.36,0.68,375.00,25.00,1845.00,0.56,17.69,0.37,729.85,3.13
0.50,-84.00,-6.00,35.00,15.00,4.00,10.58,10.01,14000.00,10583.91,0.76,378.00,14.00,1845.00,0.46,13.50,0.38,729.85,5.04
0.50,-83.00,-10.00,32.00,15.00,4.00,9.66,10.03,13000.00,10763.96,0.83,414.00,13.00,1845.00,0.46,7.61,0.41,729.85,4.95
0.55,-103.00,-8.00,19.00,7.00,13.00,2.63,12.28,6000.00,18272.63,3.05,1675.00,6.00,1845.00,2.40,16.94,1.67,729.85,2.92
