payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.10,-114.00,-11.00,2.00,8.00,17.00,9.52,120.00,41000.00,34460.04,0.84,5127.00,41.00,1770.00,0.00,0.00,5.13,908.00,1.16
4.85,-98.00,-5.00,24.00,15.00,9.00,57.57,97.00,77000.00,10700.57,0.14,674.00,77.00,2510.00,0.00,0.00,0.67,908.00,3.74
4.15,-97.00,-5.00,24.00,14.00,6.00,50.61,83.01,82000.00,12961.89,0.16,656.00,82.00,2510.00,0.00,0.00,0.66,908.00,3.09
4.60,-104.00,-6.00,14.00,12.00,9.00,51.40,91.99,100000.00,15565.17,0.16,716.00,100.00,2510.00,0.00,0.00,0.72,908.00,2.57
3.00,-81.00,-5.00,26.00,14.00,6.00,52.17,60.00,85000.00,13033.29,0.15,460.00,85.00,2510.00,0.00,0.00,0.46,908.00,3.07
4.05,-87.00,-5.00,32.00,14.00,6.00,22.83,81.00,37000.00,12963.64,0.35,1419.00,37.00,2510.00,0.00,0.00,1.42,908.00,3.09
1.75,-87.00,-6.00,24.00,14.00,5.00,32.63,35.00,53000.00,12992.50,0.25,429.00,53.00,2510.00,0.00,0.00,0.43,908.00,3.08
5.95,-99.00,-7.00,22.00,15.00,9.00,55.22,119.01,73000.00,10575.76,0.14,862.00,73.00,2510.00,0.00,0.00,0.86,908.00,3.78
6.05,-101.00,-11.00,-2.00,6.00,13.00,3.31,121.00,24000.00,57929.04,2.41,14602.99,24.00,890.00,0.00,0.00,14.60,908.00,0.69
