payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.50,-101.00,-7.00,10.00,11.00,7.00,3.50,11.47,9000.00,20573.90,2.29,1143.00,9.00,860.00,1.76,20.05,1.14,720.07,3.89
0.50,-112.00,-11.00,1.00,6.00,7.00,1.29,12.01,9000.00,55637.98,6.18,3091.01,9.00,860.00,4.88,20.45,3.09,720.07,1.44
0.50,-106.00,-9.00,8.00,11.00,7.00,4.78,7.70,12000.00,20087.93,1.67,837.00,12.00,860.00,1.29,20.11,0.84,720.07,3.98
0.55,-109.00,-10.00,0.00,6.00,7.00,1.63,12.86,12000.00,58887.04,4.91,2699.00,12.00,860.00,4.29,20.53,2.70,720.07,1.36
0.50,-113.00,-11.00,0.00,5.00,24.00,2.39,8.97,23000.00,77095.83,3.35,1676.00,23.00,860.00,2.74,20.97,1.68,720.07,1.04
0.50,-114.00,-12.00,-1.00,6.00,24.00,2.14,10.17,15000.00,56129.85,3.74,1871.00,15.00,860.00,3.07,21.03,1.87,720.07,1.43
0.50,-104.00,-13.00,2.00,5.00,24.00,4.32,9.07,41000.00,75931.73,1.85,926.00,41.00,860.00,1.40,19.77,0.93,720.07,1.05
0.55,-108.00,-11.00,1.00,6.00,24.00,2.99,11.54,21000.00,56241.65,2.68,1473.00,21.00,860.00,2.33,20.44,1.47,720.07,1.42
0.55,-99.00,-10.00,-2.00,11.00,24.00,3.93,10.65,10000.00,20345.36,2.03,1119.00,10.00,860.00,1.80,20.73,1.12,720.07,3.93
0.55,-93.00,-7.00,11.00,12.00,24.00,6.82,10.53,15000.00,17590.85,1.17,645.00,15.00,860.00,0.88,17.83,0.65,720.07,4.55
0.50,-93.00,-6.00,9.00,15.00,24.00,4.99,10.14,7000.00,11227.96,1.60,802.00,7.00,860.00,1.09,17.83,0.80,720.07,7.13
0.50,-95.00,-6.00,-1.00,6.00,20.00,7.22,9.76,51000.00,56507.82,1.11,554.00,51.00,860.00,0.87,20.44,0.55,720.07,1.42
0.50,-93.00,-7.00,13.00,11.00,20.00,5.76,10.12,14000.00,19459.92,1.39,695.00,14.00,860.00,0.94,17.78,0.69,720.07,4.11
0.50,-86.00,-7.00,9.00,9.00,20.00,10.28,9.72,36000.00,28007.94,0.78,389.00,36.00,860.00,0.26,7.41,0.39,720.07,2.86
0.55,-90.00,-6.00,9.00,11.00,18.00,8.16,11.14,21000.00,20579.91,0.98,539.00,21.00,860.00,0.70,17.12,0.54,720.07,1.94
0.55,-93.00,-7.00,13.00,15.00,18.00,4.24,11.51,6000.00,11312.70,1.89,1037.00,6.00,860.00,1.40,17.78,1.04,720.07,3.54
0.50,-109.00,-11.00,2.00,6.00,18.00,1.66,11.34,12000.00,57935.68,4.83,2414.00,12.00,860.00,3.84,20.55,2.41,720.07,0.69
0.50,-107.00,-10.00,-1.00,4.00,22.00,1.15,11.09,16000.00,111359.54,6.96,3480.00,16.00,860.00,5.52,20.50,3.48,720.07,0.72
0.50,-118.00,-10.00,3.00,5.00,85.00,0.51,14.42,5000.00,78419.69,15.68,7842.00,5.00,1865.00,13.77,20.86,7.84,720.07,0.51
0.55,-111.00,-15.00,-6.00,7.00,20.00,0.47,13.73,1000.00,16843.56,16.84,9263.99,1.00,860.00,12.24,17.38,9.26,720.07,4.75
0.55,-117.00,-15.00,-2.00,15.00,81.00,0.49,21.98,1000.00,16299.95,16.30,8965.01,1.00,1865.00,14.53,19.36,8.97,720.07,2.45
0.55,-121.00,-19.00,-11.00,1.00,15.00,0.38,1.57,14000.00,294304.68,21.02,11562.01,14.00,860.00,16.93,19.17,11.56,720.07,0.27
0.55,-110.00,-14.00,-8.00,4.00,67.00,0.93,4.80,13000.00,112248.71,8.63,4749.00,13.00,860.00,7.27,19.97,4.75,720.07,0.36
0.50,-107.00,-11.00,-3.00,6.00,67.00,1.19,7.40,9000.00,60551.52,6.73,3363.99,9.00,860.00,5.34,20.52,3.36,720.07,0.66
0.50,-109.00,-11.00,-6.00,6.00,67.00,0.13,4.35,1000.00,60189.75,60.19,30094.99,1.00,860.00,43.83,19.08,30.09,720.07,0.66
0.50,-111.00,-14.00,-9.00,4.00,24.00,0.61,13.29,9000.00,117593.64,13.07,6533.01,9.00,860.00,10.03,20.02,6.53,720.07,0.68
0.50,-117.00,-17.00,-8.00,4.00,24.00,1.06,7.30,15000.00,112919.92,7.53,3764.01,15.00,860.00,5.36,18.69,3.76,720.07,0.71
0.50,-105.00,-9.00,8.00,7.00,26.00,4.77,9.40,11000.00,18435.92,1.68,838.00,11.00,860.00,1.31,20.34,0.84,720.07,4.34
0.55,-105.00,-7.00,10.00,6.00,26.00,4.29,11.11,30000.00,55908.87,1.86,1025.00,30.00,860.00,1.60,20.25,1.02,720.07,1.43
0.50,-110.00,-11.00,4.00,6.00,34.00,2.92,10.36,21000.00,57539.76,2.74,1370.00,21.00,860.00,2.17,20.48,1.37,720.07,1.39
0.50,-100.00,-8.00,11.00,9.00,34.00,5.48,9.35,19000.00,27739.91,1.46,730.00,19.00,860.00,1.17,20.67,0.73,720.07,2.88
0.50,-101.00,-7.00,7.00,11.00,34.00,3.67,10.38,9000.00,19601.92,2.18,1089.00,9.00,860.00,1.67,20.05,1.09,720.07,4.08
0.50,-93.00,-7.00,14.00,8.00,34.00,10.44,9.26,45000.00,34469.88,0.77,383.00,45.00,860.00,0.51,17.55,0.38,720.07,2.32
0.55,-91.00,-7.00,7.00,9.00,15.00,11.89,10.97,41000.00,27581.80,0.67,370.00,41.00,860.00,0.51,18.22,0.37,720.07,2.90
0.50,-94.00,-10.00,1.00,9.00,15.00,10.53,10.04,37000.00,28119.78,0.76,380.00,37.00,860.00,0.56,19.34,0.38,720.07,2.84
0.55,-88.00,-8.00,5.00,11.00,15.00,12.32,10.97,31000.00,20121.70,0.65,357.00,31.00,860.00,0.46,16.94,0.36,720.07,3.98
0.50,-82.00,-6.00,10.00,10.00,9.00,13.38,9.96,41000.00,24517.87,0.60,299.00,41.00,860.00,0.20,6.73,0.30,720.07,3.26
0.50,-71.00,-5.00,37.00,11.00,4.00,11.46,10.04,29000.00,20241.86,0.70,349.00,29.00,860.00,0.19,-6.28,0.35,720.07,1.98
