payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.50,-99.00,-6.00,25.00,12.00,7.00,4.02,11.23,9000.00,17909.91,1.99,995.00,9.00,860.00,1.46,19.25,0.99,684.07,4.47
0.50,-109.00,-11.00,5.00,9.00,7.00,1.68,11.39,6000.00,28595.94,4.77,2383.00,6.00,860.00,3.78,20.50,2.38,684.07,2.80
0.50,-110.00,-11.00,2.00,4.00,7.00,5.67,8.36,79000.00,111389.59,1.41,705.00,79.00,860.00,1.12,20.55,0.71,684.07,0.72
0.50,-104.00,-8.00,5.00,5.00,7.00,3.85,10.29,37000.00,76811.69,2.08,1038.00,37.00,860.00,1.62,20.31,1.04,684.07,1.04
0.50,-111.00,-11.00,0.00,6.00,24.00,2.87,10.38,20000.00,55719.81,2.79,1393.00,20.00,860.00,2.41,21.84,1.39,684.07,1.44
0.50,-107.00,-10.00,5.00,7.00,24.00,3.72,9.67,9000.00,19367.91,2.15,1076.00,9.00,860.00,1.84,21.69,1.08,684.07,4.13
0.50,-106.00,-10.00,4.00,9.00,24.00,3.99,9.94,14000.00,28055.90,2.00,1002.00,14.00,860.00,1.71,21.64,1.00,684.07,2.85
0.50,-105.00,-10.00,-1.00,5.00,24.00,5.55,9.72,53000.00,76425.73,1.44,721.00,53.00,860.00,1.14,20.48,0.72,684.07,1.05
0.50,-108.00,-11.00,-2.00,5.00,24.00,5.32,10.03,51000.00,76703.70,1.50,752.00,51.00,860.00,1.19,20.53,0.75,684.07,1.04
0.50,-95.00,-7.00,8.00,15.00,24.00,7.81,9.74,10000.00,10239.96,1.02,512.00,10.00,860.00,0.79,20.08,0.51,684.07,7.81
0.50,-91.00,-5.00,15.00,12.00,24.00,7.92,10.00,17000.00,17169.94,1.01,505.00,17.00,860.00,0.67,17.41,0.51,684.07,4.66
