payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-99.00,-7.00,10.00,9.00,6.00,8.40,11.62,30000.00,28581.70,0.95,524.00,30.00,890.00,0.00,0.00,0.52,739.06,2.80
0.55,-112.00,-11.00,-1.00,7.00,6.00,3.04,13.58,7000.00,18428.99,2.63,1448.00,7.00,890.00,0.00,0.00,1.45,739.06,4.34
0.55,-110.00,-12.00,-1.00,5.00,22.00,12.12,8.20,100000.00,65999.52,0.66,363.00,100.00,890.00,0.00,0.00,0.36,739.06,1.21
0.50,-104.00,-8.00,9.00,11.00,12.00,6.77,10.20,17000.00,20093.91,1.18,591.00,17.00,890.00,0.00,0.00,0.59,739.06,3.98
0.55,-112.00,-10.00,1.00,6.00,24.00,9.00,11.52,64000.00,56901.60,0.89,489.00,64.00,890.00,0.00,0.00,0.49,739.06,1.41
0.50,-107.00,-11.00,5.00,5.00,24.00,8.25,9.36,78000.00,75659.75,0.97,485.00,78.00,890.00,0.00,0.00,0.49,739.06,1.06
0.50,-112.00,-11.00,1.00,4.00,24.00,6.24,10.17,86000.00,110251.64,1.28,641.00,86.00,890.00,0.00,0.00,0.64,739.06,0.73
0.50,-97.00,-7.00,7.00,9.00,24.00,11.46,9.72,40000.00,27919.80,0.70,349.00,40.00,890.00,0.00,0.00,0.35,739.06,2.87
0.50,-103.00,-10.00,-2.00,8.00,24.00,11.53,9.96,50000.00,34699.93,0.69,347.00,50.00,890.00,0.00,0.00,0.35,739.06,2.31
0.50,-92.00,-6.00,17.00,10.00,24.00,15.27,9.93,47000.00,24627.96,0.52,262.00,47.00,890.00,0.00,0.00,0.26,739.06,3.25
0.55,-95.00,-6.00,12.00,9.00,24.00,16.60,11.01,57000.00,27463.59,0.48,265.00,57.00,890.00,0.00,0.00,0.27,739.06,2.91
0.50,-98.00,-8.00,6.00,7.00,24.00,11.11,10.11,26000.00,18719.85,0.72,360.00,26.00,890.00,0.00,0.00,0.36,739.06,4.27
0.55,-97.00,-8.00,13.00,10.00,24.00,16.79,10.86,52000.00,24770.75,0.48,262.00,52.00,890.00,0.00,0.00,0.26,739.06,3.23
0.55,-96.00,-8.00,4.00,15.00,24.00,11.06,11.17,15000.00,10854.52,0.72,398.00,15.00,890.00,0.00,0.00,0.40,739.06,7.37
0.50,-87.00,-9.00,13.00,12.00,24.00,9.52,10.02,20000.00,16799.93,0.84,420.00,20.00,890.00,0.00,0.00,0.42,739.06,4.76
0.50,-88.00,-6.00,8.00,10.00,19.00,13.99,9.84,43000.00,24595.85,0.57,286.00,43.00,890.00,0.00,0.00,0.29,739.06,1.63
0.50,-94.00,-6.00,13.00,10.00,19.00,17.70,9.98,54000.00,24407.88,0.45,226.00,54.00,890.00,0.00,0.00,0.23,739.06,1.64
0.55,-100.00,-7.00,4.00,6.00,19.00,9.50,11.22,67000.00,56401.58,0.84,463.00,67.00,890.00,0.00,0.00,0.46,739.06,0.71
0.55,-104.00,-8.00,2.00,5.00,22.00,4.78,11.46,45000.00,75354.32,1.67,921.00,45.00,890.00,0.00,0.00,0.92,739.06,1.06
0.50,-107.00,-13.00,-2.00,7.00,22.00,3.73,10.12,9000.00,19313.93,2.15,1073.00,9.00,890.00,0.00,0.00,1.07,739.06,4.14
0.50,-109.00,-17.00,-8.00,4.00,22.00,6.63,10.92,93000.00,112157.65,1.21,603.00,93.00,890.00,0.00,0.00,0.60,739.06,0.71
0.50,-119.00,-16.00,-5.00,3.00,18.00,2.33,15.58,52000.00,178359.35,3.43,1715.00,52.00,890.00,0.00,0.00,1.72,739.06,0.45
0.50,-113.00,-16.00,-5.00,4.00,25.00,3.46,11.13,48000.00,111071.58,2.31,1157.00,48.00,890.00,0.00,0.00,1.16,739.06,0.72
0.50,-117.00,-10.00,-13.00,5.00,67.00,2.51,3.27,24000.00,76559.60,3.19,1595.00,24.00,890.00,0.00,0.00,1.59,739.06,1.04
0.55,-112.00,-14.00,0.00,5.00,23.00,6.96,9.66,66000.00,75839.73,1.15,632.00,66.00,890.00,0.00,0.00,0.63,739.06,1.05
0.50,-99.00,-7.00,4.00,9.00,23.00,7.83,9.90,27000.00,27593.89,1.02,511.00,27.00,890.00,0.00,0.00,0.51,739.06,2.90
0.50,-105.00,-8.00,6.00,6.00,23.00,7.84,10.41,55000.00,56099.77,1.02,510.00,55.00,890.00,0.00,0.00,0.51,739.06,1.43
0.50,-107.00,-8.00,7.00,6.00,23.00,9.09,9.51,64000.00,56319.81,0.88,440.00,64.00,890.00,0.00,0.00,0.44,739.06,1.42
0.50,-110.00,-10.00,-2.00,6.00,14.00,5.80,11.34,41000.00,56579.82,1.38,690.00,41.00,890.00,0.00,0.00,0.69,739.06,1.41
