payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.25,-110.00,-11.00,4.00,7.00,7.00,20.95,124.05,47000.00,17950.15,0.38,2387.00,47.00,1720.00,0.00,0.00,2.39,947.05,2.23
6.30,-97.00,-7.00,24.00,7.00,5.00,22.13,126.00,51000.00,18432.76,0.36,2277.00,51.00,1720.00,0.00,0.00,2.28,947.05,2.17
6.25,-97.00,-7.00,12.00,15.00,9.00,19.01,125.00,26000.00,10940.75,0.42,2630.00,26.00,1720.00,0.00,0.00,2.63,947.05,3.66
6.05,-85.00,-6.00,20.00,14.00,4.00,42.42,121.00,68000.00,12824.41,0.19,1141.00,68.00,1720.00,0.00,0.00,1.14,947.05,3.12
6.00,-104.00,-11.00,-3.00,15.00,4.00,7.22,120.00,10000.00,11076.62,1.11,6645.99,10.00,1720.00,0.00,0.00,6.65,947.05,3.61
6.25,-100.00,-7.00,11.00,12.00,21.00,20.71,125.00,44000.00,16994.49,0.39,2414.00,44.00,1720.00,0.00,0.00,2.41,947.05,2.35
6.10,-89.00,-7.00,19.00,11.00,2.00,21.06,122.00,53000.00,20131.23,0.38,2317.00,53.00,1720.00,0.00,0.00,2.32,947.05,1.99
