payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.15,-101.00,-10.00,4.00,15.00,5.00,10.28,122.00,14000.00,10897.17,0.78,4786.99,14.00,1720.00,0.00,0.00,4.79,1127.00,3.67
6.10,-90.00,-9.00,7.00,15.00,6.00,10.19,122.00,14000.00,10991.06,0.79,4788.98,14.00,1720.00,0.00,0.00,4.79,1127.00,3.64
6.00,-96.00,-9.00,4.00,15.00,5.00,20.60,120.00,28000.00,10873.31,0.39,2330.00,28.00,1720.00,0.00,0.00,2.33,1127.00,3.68
6.05,-93.00,-8.00,8.00,15.00,11.00,36.15,121.00,49000.00,10844.76,0.22,1339.00,49.00,1720.00,0.00,0.00,1.34,1127.00,3.69
6.00,-88.00,-8.00,13.00,15.00,4.00,40.03,120.00,54000.00,10790.96,0.20,1199.00,54.00,1720.00,0.00,0.00,1.20,1127.00,3.71
6.10,-100.00,-9.00,2.00,15.00,4.00,22.22,122.00,30000.00,10799.96,0.36,2196.00,30.00,1720.00,0.00,0.00,2.20,1127.00,3.70
6.05,-97.00,-10.00,-4.00,6.00,6.00,31.25,121.01,100000.00,25603.20,0.26,1549.00,100.00,1720.00,0.00,0.00,1.55,1127.00,1.56
6.05,-86.00,-6.00,19.00,15.00,3.00,44.98,120.99,61000.00,10848.88,0.18,1076.00,61.00,1720.00,0.00,0.00,1.08,1127.00,3.69
6.15,-90.00,-6.00,15.00,10.00,5.00,23.54,123.00,72000.00,24468.16,0.34,2090.00,72.00,1720.00,0.00,0.00,2.09,1127.00,1.63
