payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
7.95,-92.00,-6.00,-1.00,10.00,12.00,18.72,158.02,58000.00,24783.02,0.43,3397.00,58.00,890.00,0.00,0.00,3.40,1085.02,1.61
4.80,-81.00,-7.00,6.00,6.00,8.00,71.38,96.00,100000.00,11208.30,0.11,538.00,100.00,890.00,0.00,0.00,0.54,1085.02,3.57
3.50,-90.00,-7.00,16.00,12.00,5.00,28.99,70.00,62000.00,17111.95,0.28,966.00,62.00,1770.00,0.00,0.00,0.97,1085.02,2.34
1.50,-83.00,-7.00,33.00,15.00,4.00,24.59,30.00,33000.00,10735.94,0.33,488.00,33.00,1770.00,0.00,0.00,0.49,1085.02,3.73
5.10,-99.00,-6.00,-4.00,13.00,10.00,10.66,102.00,20000.00,15015.58,0.75,3828.99,20.00,2510.00,0.00,0.00,3.83,1085.02,2.66
2.75,-99.00,-5.00,20.00,11.00,7.00,9.83,55.00,25000.00,20345.38,0.81,2238.00,25.00,2510.00,0.00,0.00,2.24,1085.02,1.97
1.55,-84.00,-5.00,27.00,15.00,4.00,48.82,31.00,65000.00,10651.57,0.16,254.00,65.00,2510.00,0.00,0.00,0.25,1085.02,3.76
2.00,-90.00,-7.00,25.00,15.00,3.00,54.61,40.00,73000.00,10694.46,0.15,293.00,73.00,2510.00,0.00,0.00,0.29,1085.02,3.74
2.35,-92.00,-8.00,7.00,10.00,6.00,33.27,47.00,100000.00,24042.43,0.24,565.00,100.00,2510.00,0.00,0.00,0.56,1085.02,1.66
1.50,-92.00,-5.00,22.00,15.00,5.00,41.24,30.00,54000.00,10475.95,0.19,291.00,54.00,2510.00,0.00,0.00,0.29,1085.02,3.82
1.55,-91.00,-5.00,22.00,15.00,4.00,36.05,31.00,49000.00,10874.81,0.22,344.00,49.00,2510.00,0.00,0.00,0.34,1085.02,3.68
0.35,-88.00,-6.00,29.00,15.00,5.00,22.58,7.00,31000.00,10982.83,0.35,124.00,31.00,2510.00,0.00,0.00,0.12,1085.02,3.64
0.25,-88.00,-5.00,32.00,15.00,5.00,19.05,5.00,26000.00,10919.95,0.42,105.00,26.00,2510.00,0.00,0.00,0.10,1085.02,3.66
0.05,-88.00,-5.00,32.00,15.00,5.00,12.50,1.00,17000.00,10880.00,0.64,32.00,17.00,2510.00,0.00,0.00,0.03,1085.02,3.68
0.05,-88.00,-5.00,30.00,15.00,5.00,11.43,1.00,15000.00,10499.97,0.70,35.00,15.00,2510.00,0.00,0.00,0.04,1085.02,3.81
0.05,-88.00,-5.00,30.00,15.00,5.00,12.90,1.00,17000.00,10539.94,0.62,31.00,17.00,2510.00,0.00,0.00,0.03,1085.02,3.80
0.15,-88.00,-5.00,38.00,15.00,5.00,13.04,3.00,17000.00,10426.65,0.61,92.00,17.00,2510.00,0.00,0.00,0.09,1085.02,3.84
0.05,-88.00,-5.00,38.00,15.00,5.00,11.11,0.99,15000.00,10799.91,0.72,36.00,15.00,2510.00,0.00,0.00,0.04,1085.02,3.70
0.30,-91.00,-6.00,37.00,13.00,5.00,20.17,6.01,37000.00,14676.64,0.40,119.00,37.00,2510.00,0.00,0.00,0.12,1085.02,2.73
0.05,-88.00,-5.00,37.00,15.00,5.00,10.53,1.00,14000.00,10639.91,0.76,38.00,14.00,2510.00,0.00,0.00,0.04,1085.02,3.76
0.20,-89.00,-5.00,35.00,12.00,5.00,15.09,4.00,33000.00,17489.93,0.53,106.00,33.00,2510.00,0.00,0.00,0.11,1085.02,2.29
4.35,-105.00,-7.00,10.00,15.00,9.00,22.94,87.00,31000.00,10810.76,0.35,1517.00,31.00,2510.00,0.00,0.00,1.52,1085.02,3.70
2.20,-104.00,-8.00,16.00,15.00,10.00,43.67,44.00,59000.00,10807.69,0.18,403.00,59.00,2510.00,0.00,0.00,0.40,1085.02,3.70
1.75,-101.00,-6.00,19.00,13.00,10.00,30.37,35.00,56000.00,14751.93,0.26,461.00,56.00,2510.00,0.00,0.00,0.46,1085.02,2.71
6.30,-113.00,-9.00,7.00,7.00,55.00,20.22,126.00,46000.00,18195.48,0.40,2492.00,46.00,1770.00,0.00,0.00,2.49,1085.02,2.20
3.05,-83.00,-8.00,25.00,14.00,4.00,38.49,61.00,62000.00,12887.80,0.21,634.00,62.00,890.00,0.00,0.00,0.63,1085.02,6.21
