payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.00,-83.00,-9.00,12.00,11.00,2.00,19.23,122.78,48000.00,19967.97,0.42,2496.00,48.00,1845.00,2.85,11.02,2.50,707.73,2.00
4.55,-82.00,-7.00,11.00,6.00,2.00,19.03,90.38,100000.00,42043.75,0.42,1913.00,100.00,1845.00,2.16,10.05,1.91,707.73,1.27
2.25,-81.00,-5.00,25.00,15.00,7.00,16.33,44.20,22000.00,10775.07,0.49,1102.00,22.00,1845.00,1.06,2.80,1.10,707.73,4.95
6.05,-81.00,-5.00,2.00,6.00,38.00,17.26,122.67,100000.00,46346.99,0.46,2804.00,100.00,850.00,1.71,1.98,2.80,707.73,0.86
2.45,-93.00,-10.00,-4.00,15.00,7.00,3.66,51.64,5000.00,10922.40,2.18,5352.00,5.00,1845.00,9.05,20.22,5.35,707.73,4.88
6.05,-95.00,-8.00,5.00,11.00,6.00,14.12,119.04,35000.00,19831.29,0.57,3427.99,35.00,1845.00,4.35,14.33,3.43,707.73,2.69
2.80,-90.00,-7.00,6.00,15.00,7.00,10.80,54.71,15000.00,11116.05,0.74,2075.00,15.00,1845.00,3.29,18.92,2.08,707.73,4.80
