payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.00,-83.00,-9.00,12.00,11.00,2.00,11.91,124.38,30000.00,20149.95,0.67,4030.00,30.00,1750.00,0.00,0.00,4.03,707.73,1.99
6.05,-86.00,-6.00,18.00,15.00,2.00,19.53,119.41,27000.00,11058.78,0.41,2477.99,27.00,1750.00,0.00,0.00,2.48,707.73,4.82
6.05,-102.00,-6.00,9.00,10.00,11.00,12.99,122.13,40000.00,24634.52,0.62,3725.98,40.00,1750.00,0.00,0.00,3.73,707.73,2.16
6.05,-91.00,-6.00,24.00,8.00,13.00,19.05,119.84,82000.00,34439.85,0.42,2541.00,82.00,880.00,0.00,0.00,2.54,707.73,2.32
6.00,-90.00,-7.00,6.00,15.00,7.00,12.48,121.43,17000.00,10894.12,0.64,3845.00,17.00,1750.00,0.00,0.00,3.84,707.73,4.90
