payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.10,-91.00,-9.00,8.00,15.00,22.00,14.30,121.00,19000.00,10631.10,0.56,3413.15,19.00,860.00,4.15,16.03,3.41,648.84,7.53
6.00,-113.00,-17.00,-3.00,15.00,23.00,11.52,120.01,16000.00,11107.48,0.69,4165.32,16.00,860.00,7.05,21.52,4.17,648.84,7.20
6.00,-108.00,-9.00,13.00,15.00,32.00,19.89,120.00,27000.00,10858.16,0.40,2412.93,27.00,1865.00,4.26,20.95,2.41,648.84,3.68
2.15,-63.00,-5.00,30.00,15.00,6.00,25.98,43.00,36000.00,11084.60,0.31,662.00,36.00,1865.00,0.61,-10.88,0.66,648.84,3.61
1.50,-76.00,-5.00,27.00,14.00,5.00,21.54,30.00,35000.00,12996.60,0.37,557.00,35.00,1865.00,0.51,-5.14,0.56,648.84,3.08
