payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
3.50,-80.00,-6.00,32.00,15.00,7.00,18.64,69.03,25000.00,10728.52,0.43,1502.00,25.00,1845.00,1.67,8.20,1.50,698.03,4.97
1.50,-72.00,-5.00,29.00,15.00,2.00,17.17,30.00,23000.00,10717.99,0.47,699.00,23.00,1845.00,0.64,-5.61,0.70,698.03,3.73
3.45,-85.00,-6.00,29.00,15.00,12.00,18.06,69.00,25000.00,11072.42,0.44,1528.00,25.00,1845.00,1.89,13.71,1.53,698.03,4.82
2.30,-77.00,-5.00,24.00,15.00,1.00,16.83,46.00,23000.00,10929.94,0.48,1093.00,23.00,1845.00,1.03,1.89,1.09,698.03,4.88
2.25,-80.00,-5.00,28.00,13.00,6.00,15.90,45.00,29000.00,14590.19,0.50,1132.00,29.00,1845.00,1.10,3.19,1.13,698.03,3.66
2.30,-78.00,-5.00,25.00,13.00,16.00,22.12,46.00,41000.00,14831.23,0.36,832.00,41.00,1845.00,0.78,2.16,0.83,698.03,3.60
5.45,-86.00,-10.00,1.00,7.00,8.00,18.92,109.00,44000.00,18601.01,0.42,2304.00,44.00,1845.00,3.62,18.70,2.30,698.03,2.87
4.10,-90.00,-6.00,20.00,12.00,53.00,17.13,82.00,36000.00,16814.57,0.47,1915.00,36.00,1845.00,2.80,17.27,1.92,698.03,3.17
4.05,-97.00,-9.00,4.00,11.00,7.00,19.60,81.00,50000.00,20407.33,0.41,1653.00,50.00,1845.00,2.67,19.25,1.65,698.03,2.61
3.35,-73.00,-6.00,13.00,12.00,3.00,23.68,67.00,51000.00,17233.37,0.34,1132.00,51.00,1845.00,1.06,-0.64,1.13,698.03,3.09
