payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.85,-89.00,-7.00,23.00,15.00,7.00,17.77,95.00,24000.00,10807.40,0.45,2184.01,24.00,1845.00,3.14,16.95,2.18,779.00,4.93
1.70,-79.00,-6.00,28.00,14.00,2.00,17.19,34.00,28000.00,13028.18,0.47,791.00,28.00,1845.00,0.73,-1.57,0.79,779.00,3.07
4.40,-86.00,-6.00,12.00,11.00,7.00,19.40,88.00,48000.00,19789.02,0.41,1814.00,48.00,1845.00,2.17,12.73,1.81,779.00,2.70
2.10,-81.00,-5.00,26.00,15.00,3.00,17.13,42.00,23000.00,10744.27,0.47,981.00,23.00,1845.00,0.94,2.80,0.98,779.00,4.96
3.50,-87.00,-6.00,21.00,15.00,17.00,24.69,70.00,33000.00,10691.94,0.32,1134.00,33.00,1845.00,1.77,18.53,1.13,779.00,4.99
2.15,-65.00,-6.00,29.00,15.00,9.00,21.39,43.00,29000.00,10844.62,0.37,804.00,29.00,1845.00,0.74,-4.50,0.80,779.00,4.92
4.10,-82.00,-6.00,15.00,15.00,10.00,21.98,82.00,30000.00,10917.03,0.36,1492.00,30.00,1845.00,1.67,9.02,1.49,779.00,4.89
5.05,-86.00,-4.00,16.00,15.00,51.00,25.02,101.00,34000.00,10873.22,0.32,1615.00,34.00,1845.00,1.99,13.50,1.61,779.00,4.91
3.10,-90.00,-8.00,16.00,15.00,10.00,20.05,62.00,27000.00,10773.82,0.40,1237.00,27.00,1845.00,2.00,19.27,1.24,779.00,4.95
4.75,-80.00,-6.00,27.00,11.00,4.00,26.54,95.00,66000.00,19897.20,0.30,1432.00,66.00,1845.00,1.61,9.50,1.43,779.00,2.68
