payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.45,-88.00,-6.00,25.00,11.00,7.00,17.55,88.11,44000.00,20061.90,0.46,2029.00,44.00,1845.00,2.83,16.33,2.03,723.31,2.66
1.55,-78.00,-5.00,30.00,15.00,2.00,16.12,30.20,22000.00,10914.80,0.50,769.00,22.00,1845.00,0.85,6.98,0.77,723.31,3.66
4.45,-89.00,-6.00,19.00,15.00,8.00,18.59,89.00,25000.00,10758.41,0.43,1915.01,25.00,1845.00,2.77,17.11,1.92,723.31,4.96
2.05,-80.00,-5.00,34.00,15.00,3.00,14.66,41.00,20000.00,10917.03,0.55,1119.00,20.00,1845.00,1.08,2.97,1.12,723.31,4.89
3.65,-82.00,-5.00,26.00,14.00,17.00,13.88,73.00,23000.00,13251.71,0.58,2102.99,23.00,1845.00,2.57,13.38,2.10,723.31,4.02
2.00,-82.00,-7.00,34.00,15.00,1.00,22.19,40.00,30000.00,10814.95,0.36,721.00,30.00,1845.00,0.83,11.62,0.72,723.31,4.93
4.05,-85.00,-5.00,18.00,15.00,11.00,20.49,81.00,28000.00,10930.35,0.39,1581.00,28.00,1845.00,1.78,10.08,1.58,723.31,4.88
5.30,-79.00,-6.00,13.00,11.00,4.00,25.60,106.00,64000.00,19996.88,0.31,1656.00,64.00,1845.00,1.85,8.64,1.66,723.31,2.67
