payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.40,-106.00,-10.00,4.00,5.00,17.00,6.20,127.00,59000.00,76165.03,1.29,8261.99,59.00,1845.00,15.11,21.53,8.26,839.01,1.05
4.85,-93.00,-7.00,22.00,12.00,13.00,12.91,97.00,28000.00,17354.12,0.62,3005.99,28.00,1845.00,4.49,17.69,3.01,839.01,4.61
4.50,-74.00,-9.00,6.00,15.00,11.00,26.30,90.00,36000.00,10951.94,0.30,1369.00,36.00,1845.00,1.26,-10.89,1.37,839.01,4.87
2.70,-70.00,-8.00,15.00,11.00,2.00,19.17,54.00,48000.00,20035.48,0.42,1127.00,48.00,1845.00,1.04,-4.20,1.13,839.01,2.66
4.00,-76.00,-5.00,28.00,15.00,3.00,23.95,80.00,32000.00,10687.95,0.33,1336.00,32.00,1845.00,1.25,0.00,1.34,839.01,4.99
6.20,-102.00,-13.00,-6.00,15.00,15.00,8.08,124.00,11000.00,10886.41,0.99,6136.00,11.00,1845.00,10.31,20.11,6.14,839.01,4.90
4.25,-92.00,-8.00,14.00,15.00,8.00,9.10,85.00,12000.00,10554.31,0.88,3738.00,12.00,1845.00,5.56,17.61,3.74,839.01,7.58
3.50,-92.00,-6.00,16.00,11.00,7.00,12.17,70.00,31000.00,20371.28,0.66,2299.99,31.00,1845.00,3.55,18.33,2.30,839.01,2.62
3.90,-81.00,-6.00,21.00,15.00,5.00,25.24,78.00,34000.00,10775.35,0.32,1236.00,34.00,1845.00,1.36,7.25,1.24,839.01,4.95
