payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.85,-100.00,-12.00,-1.00,7.00,20.00,8.99,137.00,21000.00,18697.60,0.89,6099.01,21.00,1845.00,10.40,20.36,6.10,913.05,2.85
5.35,-93.00,-7.00,18.00,15.00,10.00,4.83,107.00,7000.00,11596.41,1.66,8863.00,7.00,2135.00,13.21,17.66,8.86,913.05,3.45
2.35,-66.00,-6.00,13.00,12.00,1.00,25.07,47.00,54000.00,17233.95,0.32,750.00,54.00,1845.00,0.69,-4.02,0.75,913.05,3.09
4.00,-83.00,-11.00,12.00,9.00,2.00,23.02,80.00,79000.00,27452.36,0.35,1390.00,79.00,1845.00,1.55,8.38,1.39,913.05,1.94
6.90,-97.00,-9.00,-1.00,9.00,11.00,13.75,138.00,47000.00,27348.44,0.58,4015.00,47.00,1845.00,6.19,18.33,4.02,913.05,1.95
5.60,-92.00,-6.00,12.00,15.00,10.00,12.29,111.99,17000.00,11065.10,0.65,3644.99,17.00,1845.00,5.52,17.98,3.64,913.05,7.23
4.25,-90.00,-8.00,3.00,6.00,7.00,15.00,85.01,100000.00,53340.80,0.53,2266.99,100.00,1845.00,3.65,19.22,2.27,913.05,1.00
4.10,-79.00,-10.00,17.00,15.00,3.00,23.31,81.99,32000.00,10981.42,0.34,1407.00,32.00,1845.00,1.57,8.72,1.41,913.05,4.86
2.35,-86.00,-6.00,17.00,14.00,6.00,22.98,47.00,37000.00,12879.08,0.35,818.00,37.00,1845.00,0.93,10.34,0.82,913.05,4.14
