payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-85.00,-5.00,12.00,9.00,7.00,7.33,11.75,25000.00,27272.63,1.09,600.00,25.00,1720.00,0.00,0.00,0.60,880.10,1.47
0.55,-83.00,-6.00,22.00,13.00,4.00,8.03,10.85,15000.00,14945.39,1.00,548.00,15.00,1720.00,0.00,0.00,0.55,880.10,2.68
0.50,-75.00,-5.00,29.00,15.00,4.00,9.46,9.88,13000.00,10997.96,0.85,423.00,13.00,1720.00,0.00,0.00,0.42,880.10,3.64
0.50,-89.00,-6.00,18.00,11.00,4.00,9.80,10.00,25000.00,20399.92,0.82,408.00,25.00,1720.00,0.00,0.00,0.41,880.10,1.96
0.50,-97.00,-10.00,3.00,9.00,4.00,8.57,10.02,30000.00,28019.90,0.93,467.00,30.00,1720.00,0.00,0.00,0.47,880.10,1.43
0.50,-101.00,-10.00,7.00,11.00,10.00,6.68,10.16,17000.00,20365.93,1.20,599.00,17.00,1720.00,0.00,0.00,0.60,880.10,1.96
0.50,-97.00,-8.00,10.00,7.00,10.00,6.70,9.99,15000.00,17909.94,1.19,597.00,15.00,1720.00,0.00,0.00,0.60,880.10,2.23
0.50,-104.00,-10.00,7.00,7.00,12.00,9.05,9.82,21000.00,18563.93,0.88,442.00,21.00,1720.00,0.00,0.00,0.44,880.10,2.15
0.55,-102.00,-11.00,7.00,8.00,8.00,7.46,11.20,33000.00,35399.84,1.07,590.00,33.00,1720.00,0.00,0.00,0.59,880.10,1.13
0.50,-107.00,-12.00,3.00,6.00,8.00,8.70,9.86,62000.00,57039.75,0.92,460.00,62.00,1720.00,0.00,0.00,0.46,880.10,0.70
0.50,-88.00,-10.00,4.00,8.00,8.00,6.49,10.14,28000.00,34495.88,1.23,616.00,28.00,1720.00,0.00,0.00,0.62,880.10,1.16
0.50,-92.00,-13.00,8.00,9.00,8.00,6.35,10.01,23000.00,28979.89,1.26,630.00,23.00,1720.00,0.00,0.00,0.63,880.10,1.38
0.50,-91.00,-12.00,15.00,9.00,8.00,4.29,10.34,15000.00,27959.91,1.86,932.00,15.00,1720.00,0.00,0.00,0.93,880.10,1.43
0.50,-91.00,-9.00,5.00,7.00,5.00,8.46,9.48,20000.00,18919.93,0.95,473.00,20.00,1720.00,0.00,0.00,0.47,880.10,2.11
0.50,-89.00,-9.00,7.00,7.00,5.00,8.93,10.01,21000.00,18815.92,0.90,448.00,21.00,1720.00,0.00,0.00,0.45,880.10,2.13
0.50,-89.00,-8.00,4.00,10.00,5.00,7.29,10.10,22000.00,24155.92,1.10,549.00,22.00,1720.00,0.00,0.00,0.55,880.10,1.66
0.50,-89.00,-10.00,3.00,9.00,5.00,8.93,9.89,31000.00,27775.88,0.90,448.00,31.00,1720.00,0.00,0.00,0.45,880.10,1.44
0.50,-87.00,-10.00,-1.00,6.00,5.00,5.33,10.31,38000.00,57075.80,1.50,751.00,38.00,1720.00,0.00,0.00,0.75,880.10,0.70
0.50,-98.00,-10.00,6.00,6.00,10.00,6.94,9.82,49000.00,56447.79,1.15,576.00,49.00,1720.00,0.00,0.00,0.58,880.10,0.71
0.50,-96.00,-7.00,10.00,7.00,17.00,7.39,9.94,17000.00,18393.94,1.08,541.00,17.00,1720.00,0.00,0.00,0.54,880.10,2.17
0.50,-101.00,-12.00,1.00,6.00,17.00,7.77,9.99,55000.00,56649.78,1.03,515.00,55.00,1720.00,0.00,0.00,0.52,880.10,0.71
0.50,-97.00,-10.00,6.00,10.00,17.00,7.14,10.03,22000.00,24639.92,1.12,560.00,22.00,1720.00,0.00,0.00,0.56,880.10,1.62
0.50,-96.00,-9.00,13.00,7.00,17.00,6.47,10.08,15000.00,18539.92,1.24,618.00,15.00,1720.00,0.00,0.00,0.62,880.10,2.16
0.50,-101.00,-10.00,3.00,6.00,17.00,6.78,9.98,48000.00,56639.76,1.18,590.00,48.00,1720.00,0.00,0.00,0.59,880.10,0.71
0.50,-98.00,-7.00,25.00,7.00,15.00,7.39,9.95,17000.00,18393.94,1.08,541.00,17.00,1720.00,0.00,0.00,0.54,880.10,2.17
0.50,-95.00,-8.00,5.00,7.00,5.00,7.01,10.08,16000.00,18271.93,1.14,571.00,16.00,1720.00,0.00,0.00,0.57,880.10,2.19
0.50,-95.00,-8.00,7.00,7.00,5.00,7.81,9.89,18000.00,18431.93,1.02,512.00,18.00,1720.00,0.00,0.00,0.51,880.10,2.17
0.50,-96.00,-8.00,24.00,6.00,5.00,8.03,9.98,57000.00,56771.78,1.00,498.00,57.00,1720.00,0.00,0.00,0.50,880.10,0.70
0.50,-93.00,-7.00,1.00,6.00,12.00,7.38,10.03,53000.00,57451.80,1.08,542.00,53.00,1720.00,0.00,0.00,0.54,880.10,0.70
0.55,-97.00,-11.00,6.00,9.00,12.00,8.22,10.99,29000.00,28208.98,0.97,535.00,29.00,1720.00,0.00,0.00,0.53,880.10,1.42
0.50,-93.00,-9.00,1.00,6.00,10.00,5.57,10.19,39000.00,56003.81,1.44,718.00,39.00,1720.00,0.00,0.00,0.72,880.10,0.71
0.50,-87.00,-7.00,5.00,6.00,4.00,7.65,9.81,55000.00,57529.80,1.05,523.00,55.00,1720.00,0.00,0.00,0.52,880.10,0.70
0.50,-89.00,-6.00,12.00,10.00,4.00,6.42,10.10,20000.00,24919.91,1.25,623.00,20.00,1720.00,0.00,0.00,0.62,880.10,1.61
0.50,-96.00,-7.00,9.00,9.00,9.00,8.23,9.86,29000.00,28187.91,0.97,486.00,29.00,1720.00,0.00,0.00,0.49,880.10,1.42
0.50,-98.00,-9.00,4.00,9.00,9.00,6.19,10.17,22000.00,28423.91,1.29,646.00,22.00,1720.00,0.00,0.00,0.65,880.10,1.41
0.50,-97.00,-9.00,4.00,6.00,7.00,6.59,9.96,48000.00,58271.79,1.21,607.00,48.00,1720.00,0.00,0.00,0.61,880.10,0.69
0.50,-97.00,-11.00,0.00,7.00,7.00,6.90,9.96,16000.00,18559.92,1.16,580.00,16.00,1720.00,0.00,0.00,0.58,880.10,2.16
0.50,-103.00,-9.00,3.00,5.00,7.00,3.95,10.44,38000.00,76987.75,2.03,1013.00,38.00,1720.00,0.00,0.00,1.01,880.10,0.52
0.55,-100.00,-8.00,8.00,6.00,7.00,8.82,10.50,62000.00,56250.69,0.91,499.00,62.00,1720.00,0.00,0.00,0.50,880.10,0.71
0.50,-99.00,-8.00,11.00,8.00,7.00,8.28,9.96,36000.00,34775.85,0.97,483.00,36.00,1720.00,0.00,0.00,0.48,880.10,1.15
0.50,-97.00,-7.00,10.00,10.00,7.00,5.95,10.19,18000.00,24191.92,1.34,672.00,18.00,1720.00,0.00,0.00,0.67,880.10,1.65
0.50,-89.00,-6.00,13.00,11.00,11.00,8.58,9.83,22000.00,20503.93,0.93,466.00,22.00,1720.00,0.00,0.00,0.47,880.10,1.95
0.50,-88.00,-7.00,9.00,15.00,11.00,7.69,10.03,10000.00,10399.96,1.04,520.00,10.00,1720.00,0.00,0.00,0.52,880.10,3.85
0.50,-93.00,-6.00,1.00,6.00,7.00,7.58,10.00,53000.00,55967.76,1.06,528.00,53.00,1720.00,0.00,0.00,0.53,880.10,0.71
0.50,-95.00,-7.00,13.00,9.00,8.00,7.94,10.00,28000.00,28223.89,1.01,504.00,28.00,1720.00,0.00,0.00,0.50,880.10,1.42
0.50,-93.00,-8.00,11.00,9.00,8.00,7.50,9.99,26000.00,27715.89,1.07,533.00,26.00,1720.00,0.00,0.00,0.53,880.10,1.44
